PC,1,2,3,4,5,6,7,8,9,10,11,12
Kelowna,2.723545183,1.663814044,1.904549199,1.507727478,1.550547866,1.450612565,1.942476791,1.687924563,1.405099326,1.103677517,1.275729692,1.02273233
Kent,1.253840843,0.490152762,0.73601577,0.708572937,0.740768015,0.71314224,0.864128803,0.767246,0.436232826,0.292374574,0.43363448,0.076581615
Keremeos,4.575844914,3.517007202,4.00727105,3.829348683,4.107890315,4.135958911,4.849966461,4.576941045,3.989921491,3.155193163,3.273903611,3.384026583
Kimberley,1.73260994,0.641869129,1.417545254,0.899680366,0.832599243,0.931824515,1.260094875,0.980693908,0.590845931,0.305995799,0.785513242,-0.169493877
Kitimat,1.748643033,0.575203249,0.880899456,0.545044709,0.726648808,0.652972974,0.765239811,0.531876799,0.503204276,0.375520503,0.331390905,0.510754928
Ladner,0.899492882,0.368701231,0.81067992,0.664132813,0.783738459,0.784771675,1.000911498,0.99331731,0.721275994,0.369845615,0.498595269,-0.139547771
Ladysmith,1.554127552,0.955280491,1.516586846,1.314524244,1.325854546,1.355668131,1.487990353,1.293517894,1.05642307,0.805595463,1.053989696,0.735450519
Lake Cowichan,1.572377442,1.049286119,1.841535491,1.685759323,1.574105398,1.629919963,1.483818185,1.142485898,0.683938195,0.667093868,1.24075551,0.823883496
Lillooet,4.55283406,3.63513223,3.447615496,3.270462912,3.614508706,3.690888524,4.13712096,3.842519288,3.38467937,2.749361026,3.089874418,2.642465145
Lions Bay,5.45395383,4.876693698,5.534399925,5.13728975,5.1634427,5.099577693,4.694888895,4.678678697,4.475648154,4.29649125,4.673748206,4.474019615
Logan Lake,1.942284618,0.544123951,0.888798442,0.530473283,0.432206917,0.39655928,1.129784351,0.471238162,0.323680642,-0.094100883,0.203506107,-0.295204159
Lumby,3.176397207,2.116793863,2.449423879,2.249627688,2.337881277,2.671871712,2.768531875,2.605239485,2.199301243,1.782594275,2.098816482,1.483217689
Mackenzie,2.956800252,1.142331257,1.074552104,0.230275597,-0.01643775,0.097875749,0.013273667,0.089755189,0.133455251,0.042330145,-0.045584646,0.61969214
Merritt,2.561312926,1.036348224,1.246736344,0.793205316,0.804102474,0.726161174,0.766316344,0.726218476,0.210413989,0.438687781,1.10404297,0.45033388
Mile 108 Recreational Ranch,2.006316098,0.724942895,0.768660389,0.272538939,0.262491671,0.331014961,0.402538589,0.14713345,0.050894641,-0.127739045,0.610189603,0.254507794
Miller's Landing,1.365261923,0.886550908,1.338653176,1.136827095,1.177833197,1.182869509,1.250144935,1.334975647,1.116736705,0.783047331,0.888039408,0.490013667
Mission,1.035653866,0.248161693,0.615332033,0.470407273,0.516474942,0.51703593,0.61105567,0.551407716,0.239489589,0.155000382,0.227018381,-0.083693995
Nakusp,1.85411879,0.827525464,1.213267239,0.855092615,0.942132876,0.937787379,1.00477156,0.68684479,0.37308847,0.465837762,0.706425635,0.188092108
Nanaimo,0.592236749,0.121497473,0.717789106,0.522684328,0.550216421,0.564568735,0.741500686,0.532421929,0.381253882,0.025543207,0.135877231,-0.145079166
Naramata,4.282233791,3.136036127,3.174077057,2.706529819,2.643846872,2.486663925,3.060991174,3.070866727,2.823722519,2.602336919,2.646785235,2.747746128
Nelson,4.602792505,3.381140917,3.543296234,2.938811529,2.644003289,2.643007616,2.729742856,2.72524312,2.654044483,2.386098307,3.607157191,3.285705888
Okanagan Falls,3.665765741,2.512828211,2.739062395,2.384748394,2.522055939,2.464426538,3.084028432,3.005563397,2.691823544,2.316216468,2.239982922,2.215544041
Oliver,1.933710008,0.918245164,1.563332986,1.450875697,1.396607973,1.411270032,1.808787163,1.785690008,1.642247568,1.471194191,1.102674059,0.524257869
One Hundred Mile House,2.222200539,0.972511347,0.972079317,0.472457388,0.381052025,0.470032577,0.581633769,0.231408771,0.195657364,-0.020440692,0.816168495,0.421619966
Osoyoos,2.100674715,1.225459594,1.728290059,1.60201106,1.4767346,1.56656597,1.837591397,1.928374837,1.740858501,1.660509322,1.254390071,0.595269211
Parksville,0.772482777,0.302431085,0.683237087,0.54398811,0.644965074,0.522641392,0.831809137,0.606360465,0.4434815,0.14477193,0.159542106,-0.095533723
Peachland,3.848147125,2.547266508,2.533614865,2.214856554,2.348992102,2.435009141,3.051117329,2.979681692,2.571536644,2.170554427,2.206994335,2.183251503
Pemberton,2.259204699,2.084925841,3.00109832,2.956939539,2.99344764,2.837879833,2.283731511,2.017927684,1.481566016,1.511650562,1.976250884,1.288096422
Penticton,4.115604656,2.902709717,2.730194383,2.407085778,2.348898898,2.330124598,2.831131292,2.924917988,2.723640889,2.428984416,2.461292449,2.582694567
Port Alberni,0.962843697,0.515734291,1.053402049,0.88578917,0.962904239,0.962131365,1.000802162,0.810177458,0.609996873,0.491213458,0.609491276,0.219693695
Port Hardy,1.044127619,0.424460347,0.812703798,0.445032048,0.661390708,0.629616464,0.655305854,0.504645642,0.30223943,0.223139846,0.379846324,0.392035677
Port McNeill,0.728266011,-0.050103874,0.521169649,0.205015711,0.337039084,0.152121469,0.283733008,0.141534767,-0.021673758,-0.034554924,-0.021296962,-0.112496529
Powell River,0.770580625,0.102794767,0.383821307,0.165755449,0.309142491,0.186361686,0.355603992,0.111743666,-0.015836124,-0.186665338,-0.139953377,-0.20147941
Prince George,2.717800503,1.425236563,1.025290708,0.4192564,0.847335097,0.751082939,0.877153766,0.687463275,0.43866034,0.087976261,0.23170338,0.596886081
Prince Rupert,1.632742399,0.938849058,0.876965969,0.803523142,0.859967964,0.816089502,0.619174322,0.56038082,0.534306784,0.491746085,0.615694581,0.854185969
Princeton,1.844488943,0.68750256,1.247834402,0.924448942,0.990562031,0.807301175,1.168919813,1.110564813,0.703271719,0.40269061,0.561098452,0.195319973
Puntledge,0.84307993,0.192068897,0.596734396,0.335108765,0.503723095,0.309968517,0.4421677,0.254181312,0.00682472,-0.202784243,0.099826101,-0.039783526
Quesnel,2.81710653,1.487353996,1.008519436,0.775559894,0.93429159,0.94638418,1.022121463,0.769697133,0.528483918,0.173714135,0.582742012,0.552855175
Rayleigh,3.802665281,2.797821126,3.031096641,2.702563805,2.836321898,2.829952375,3.327591264,3.010555856,2.622345553,1.968373871,2.449880326,1.986136097
Revelstoke,2.562950468,1.331404448,1.613254127,0.874380027,0.857968631,0.603293041,0.813878477,0.512373089,0.505947305,0.43884502,1.020188149,0.926807381
Roberts Creek,2.856547928,2.184334543,2.79500088,2.435770733,2.02943204,2.36280761,2.222094539,2.134064267,1.93420421,1.791756441,2.017278645,1.965200947
Rosedale,1.242032926,0.436043025,0.642515705,0.565946396,0.544466484,0.514415399,0.655179925,0.534031984,0.221432269,0.130356891,0.338022595,0.038447269
Rossland,2.042908643,1.258773288,1.240750129,1.095889045,1.030206284,0.805432403,1.182681994,1.127000797,0.985556174,0.592052509,0.968594665,0.542513487
Salmo,2.969841233,1.883174313,1.915707474,1.361565119,1.053386743,1.060431241,1.004973797,0.831516257,0.870122879,0.817628466,1.971340731,1.497511609
Salmon Arm,2.0365381,0.96302815,1.05178937,0.847197831,0.830381773,0.955529121,1.135874873,1.078325004,0.777860886,0.468975226,0.66193619,0.278968341
Sechelt,1.125790996,0.476931088,1.048246521,0.776013816,0.414223736,0.810924722,0.828362207,0.723037978,0.551214903,0.355993093,0.365475322,0.286673462
Shawnigan - Mill Bay,1.161599258,0.483510688,0.937406364,0.722348235,0.721555497,0.747995974,0.800650553,0.690919906,0.290474858,0.142228311,0.43892625,0.139525896
Sicamous,4.248222325,3.067513494,3.435199829,3.207927499,3.392382311,3.526413916,3.479931037,3.121587563,2.684672526,2.483077509,3.210007423,2.886813167
Smithers,1.817788593,0.716246227,1.233689875,0.506111244,0.604195008,0.324798144,0.2512202,0.057323046,-0.001282838,0.03781416,0.016228821,0.01045917
Sooke,0.772391038,0.256929181,0.579523583,0.403836522,0.334241046,0.371722098,0.438597497,0.375555235,0.020180017,-0.081005722,0.177396565,-0.145693269
Sparwood,2.972346327,1.770153858,2.591798577,1.58285043,0.993802328,0.840987583,0.895773625,0.643290053,0.406847309,0.164888759,1.22516513,0.845189978
Squamish,2.528437652,1.740885236,2.114108085,1.807462937,1.727220128,1.794423735,1.692784631,1.528423939,1.430532202,1.430556351,1.531621749,1.393713382
Summerland,2.667626965,1.494975517,1.55356931,1.229058664,1.08183075,1.0461835,1.492875247,1.513278013,1.297613631,1.208357307,1.12117633,1.065654919
Telkwa,1.705097871,0.295971793,0.679296402,0.015737386,0.155650687,-0.131914496,-0.088478971,-0.357330807,-0.488662079,-0.421322651,-0.411407394,-0.284536899
Terrace,2.099966156,0.698733473,0.94811026,0.51904444,0.62776336,0.64746992,0.748323151,0.512627061,0.483656968,0.370514349,0.415621118,0.641499834
Tofino,1.477967276,1.033233744,1.573639869,1.283059219,1.12133084,0.934146146,0.873587275,0.80165268,0.911762506,0.960266952,1.073276514,0.80513066
Trail - Fruitvale,2.394774487,1.428718775,1.585671423,1.04210633,1.099890932,1.001956681,0.806185789,0.601901862,0.725427371,0.683776334,1.451391869,1.01789257
Tsawwassen,0.662042356,0.138946434,0.589991389,0.513754784,0.64513565,0.651659471,0.80117759,0.733649806,0.433657471,0.172516547,0.278146177,-0.370472836
Tumbler Ridge,2.292891974,1.062843062,0.890717242,-0.219309137,-0.569182163,-0.806246914,-0.253668665,-0.184553904,-0.020118953,0.009540691,0.164125679,0.069963238
Ucluelet,1.24937778,0.797182039,1.315408286,1.200023724,1.25103796,0.998473817,0.933824168,0.72943707,0.981432151,0.865186962,0.977060468,0.59544437
Vancouver - Coastal,0.787093749,0.212947747,0.694661005,0.540250237,0.687279697,0.668770919,0.898506901,0.938758116,0.682100866,0.290759356,0.322680494,-0.211862956
Vancouver - Inland,0.851683089,0.229693251,0.709998435,0.579141859,0.648315455,0.663452048,0.806866475,0.716167147,0.463056923,0.194554524,0.331574967,-0.200360505
Vancouver - NorthShore,1.634600543,1.001334339,1.551473332,1.331992216,1.436330588,1.450166582,1.521954609,1.565105738,1.243229594,0.977631869,1.08494775,0.70010854
Vanderhoof,2.483408984,1.153685943,0.86069685,0.128307381,0.465145524,0.444451589,0.550624347,0.333678148,0.075073599,-0.366118229,-0.237371993,0.276658788
Vernon,2.968035905,1.815796455,1.96297884,1.748690863,1.758786505,1.864667035,2.212850159,2.108208879,1.633652984,1.24192505,1.455380568,1.067251201
Victoria,0.698220943,0.191511218,0.424290864,0.293221823,0.292361669,0.367452239,0.458179825,0.40304044,0.071635056,-0.086789196,0.143331341,-0.213656229
Welcome Beach,0.715101542,-0.014240328,0.60265892,0.402499613,0.080682436,0.3559869,0.451612962,0.298453812,0.099307706,-0.06262477,-0.082657403,-0.146749691
Whistler,2.600062868,1.680041239,1.908451307,1.38895303,1.085955354,1.376107148,1.485070927,1.090192758,1.106272957,0.871178415,1.327952873,1.058951082
White Rock,0.563702527,-0.033999605,0.373734335,0.290199254,0.381289317,0.387111629,0.569284146,0.46437207,0.234353895,-0.028240622,0.097230907,-0.516804805
Williams Lake,2.208689279,0.954171737,1.103569691,0.542962573,0.831541815,0.8231964,0.939744677,0.605681171,0.528071708,0.103034472,0.836509659,0.360124169
Yarrow,1.388490357,0.705468005,0.970069029,0.90321224,0.878323537,0.830416654,0.821933497,0.620663854,0.236739811,0.258035717,0.56646851,0.19756952
